Año;Numero de habitantes;País;Región
2000;;Albania;Europa
2000;361;Argelia;África
2000;441;Argentina;Sudamérica
2000;143;Armenia;Europa
2000;;Austria;Europa
2000;;Bangladesh;Asia
2000;;Bélgica;Europa
2000;84;Bolivia;Sudamérica
2000;295;Brasil;Sudamérica
2000;66;Bulgaria;Europa
2000;;Camerún;África
2000;;Canadá;Norteamérica
2000;;Chile;Sudamérica
2000;836;China;Asia
2000;448;Colombia;Sudamérica
2000;354;Cuba;Centroamérica
2000;;República Checa;Europa
2000;;Dinamarca;Europa
2000;185;República Dominicana;Centroamérica
2000;265;Ecuador;Sudamérica
2000;;Egipto;África
2000;;El Salvador;Centroamérica
2000;400;Guinea Ecuatorial;África
2000;827;Francia;Europa
2000;;Georgia;Europa
2000;482;Alemania;Europa
2000;;Ghana;África
2000;;Grecia;Europa
2000;;Guatemala;Centroamérica
2000;;Honduras;Centroamérica
2000;;Hungría;Europa
2000;;India;Asia
2000;;Irlanda;Europa
2000;534;Italia;Europa
2000;;Japón;Asia
2000;;Jordania;Asia
2000;;Letonia;Europa
2000;;Líbano;Asia
2000;;Liberia;África
2000;;Libia;África
2000;;Lituania;Europa
2000;;Mali;África
2000;;Mauritania;África
2000;;México;Norteamérica
2000;;Moldavia;Europa
2000;727;Marruecos;África
2000;;Países Bajos;Europa
2000;;nueva Zelanda;Oceanía
2000;;Nicaragua;Centroamérica
2000;122;Nigeria;África
2000;176;Pakistán;Asia
2000;;Panamá;Centroamérica
2000;;Paraguay;Sudamérica
2000;255;Perú;Sudamérica
2000;;Filipinas;Asia
2000;;Polonia;Europa
2000;245;Portugal;Europa
2000;;Guinea;África
2000;;Corea del Sur;Asia
2000;138;Rumanía;Europa
2000;;Rusia;Europa
2000;353;Senegal;África
2000;;Sierra Leona;África
2000;;Eslovaquia;Europa
2000;;Suecia;Europa
2000;;Suiza;Europa
2000;;Siria;Asia
2000;41;Ucrania;Europa
2000;436;Reino Unido;Europa
2000;217;Estados Unidos;Norteamérica
2000;147;Uruguay;Sudamérica
2000;172;Venezuela;Sudamérica
2001;;Albania;Europa
2001;628;Argelia;África
2001;602;Argentina;Sudamérica
2001;283;Armenia;Europa
2001;;Austria;Europa
2001;;Bangladesh;Asia
2001;120;Bélgica;Europa
2001;255;Bolivia;Sudamérica
2001;453;Brasil;Sudamérica
2001;318;Bulgaria;Europa
2001;71;Camerún;África
2001;;Canadá;Norteamérica
2001;154;Chile;Sudamérica
2001;1246;China;Asia
2001;2554;Colombia;Sudamérica
2001;515;Cuba;Centroamérica
2001;;República Checa;Europa
2001;;Dinamarca;Europa
2001;219;República Dominicana;Centroamérica
2001;4524;Ecuador;Sudamérica
2001;;Egipto;África
2001;;El Salvador;Centroamérica
2001;600;Guinea Ecuatorial;África
2001;917;Francia;Europa
2001;;Georgia;Europa
2001;537;Alemania;Europa
2001;85;Ghana;África
2001;;Grecia;Europa
2001;;Guatemala;Centroamérica
2001;29;Honduras;Centroamérica
2001;;Hungría;Europa
2001;170;India;Asia
2001;58;Irlanda;Europa
2001;656;Italia;Europa
2001;45;Japón;Asia
2001;76;Jordania;Asia
2001;;Letonia;Europa
2001;103;Líbano;Asia
2001;130;Liberia;África
2001;;Libia;África
2001;14;Lituania;Europa
2001;;Mali;África
2001;;Mauritania;África
2001;164;México;Norteamérica
2001;26;Moldavia;Europa
2001;1135;Marruecos;África
2001;129;Países Bajos;Europa
2001;;nueva Zelanda;Oceanía
2001;;Nicaragua;Centroamérica
2001;343;Nigeria;África
2001;432;Pakistán;Asia
2001;;Panamá;Centroamérica
2001;19;Paraguay;Sudamérica
2001;339;Perú;Sudamérica
2001;99;Filipinas;Asia
2001;126;Polonia;Europa
2001;289;Portugal;Europa
2001;171;Guinea;África
2001;;Corea del Sur;Asia
2001;465;Rumanía;Europa
2001;42;Rusia;Europa
2001;508;Senegal;África
2001;75;Sierra Leona;África
2001;;Eslovaquia;Europa
2001;;Suecia;Europa
2001;;Suiza;Europa
2001;136;Siria;Asia
2001;457;Ucrania;Europa
2001;483;Reino Unido;Europa
2001;251;Estados Unidos;Norteamérica
2001;184;Uruguay;Sudamérica
2001;224;Venezuela;Sudamérica
2002;;Albania;Europa
2002;1003;Argelia;África
2002;1243;Argentina;Sudamérica
2002;380;Armenia;Europa
2002;;Austria;Europa
2002;;Bangladesh;Asia
2002;153;Bélgica;Europa
2002;526;Bolivia;Sudamérica
2002;653;Brasil;Sudamérica
2002;759;Bulgaria;Europa
2002;90;Camerún;África
2002;;Canadá;Norteamérica
2002;232;Chile;Sudamérica
2002;1667;China;Asia
2002;6327;Colombia;Sudamérica
2002;692;Cuba;Centroamérica
2002;;República Checa;Europa
2002;;Dinamarca;Europa
2002;263;República Dominicana;Centroamérica
2002;9695;Ecuador;Sudamérica
2002;;Egipto;África
2002;;El Salvador;Centroamérica
2002;717;Guinea Ecuatorial;África
2002;1130;Francia;Europa
2002;;Georgia;Europa
2002;661;Alemania;Europa
2002;157;Ghana;África
2002;;Grecia;Europa
2002;;Guatemala;Centroamérica
2002;58;Honduras;Centroamérica
2002;;Hungría;Europa
2002;234;India;Asia
2002;82;Irlanda;Europa
2002;1038;Italia;Europa
2002;57;Japón;Asia
2002;80;Jordania;Asia
2002;;Letonia;Europa
2002;114;Líbano;Asia
2002;135;Liberia;África
2002;;Libia;África
2002;38;Lituania;Europa
2002;;Mali;África
2002;;Mauritania;África
2002;241;México;Norteamérica
2002;60;Moldavia;Europa
2002;1689;Marruecos;África
2002;157;Países Bajos;Europa
2002;;nueva Zelanda;Oceanía
2002;;Nicaragua;Centroamérica
2002;797;Nigeria;África
2002;662;Pakistán;Asia
2002;;Panamá;Centroamérica
2002;30;Paraguay;Sudamérica
2002;442;Perú;Sudamérica
2002;110;Filipinas;Asia
2002;203;Polonia;Europa
2002;311;Portugal;Europa
2002;203;Guinea;África
2002;;Corea del Sur;Asia
2002;994;Rumanía;Europa
2002;332;Rusia;Europa
2002;614;Senegal;África
2002;105;Sierra Leona;África
2002;;Eslovaquia;Europa
2002;;Suecia;Europa
2002;;Suiza;Europa
2002;185;Siria;Asia
2002;923;Ucrania;Europa
2002;636;Reino Unido;Europa
2002;314;Estados Unidos;Norteamérica
2002;320;Uruguay;Sudamérica
2002;386;Venezuela;Sudamérica
2003;;Albania;Europa
2003;1332;Argelia;África
2003;2934;Argentina;Sudamérica
2003;461;Armenia;Europa
2003;;Austria;Europa
2003;;Bangladesh;Asia
2003;178;Bélgica;Europa
2003;1391;Bolivia;Sudamérica
2003;837;Brasil;Sudamérica
2003;1502;Bulgaria;Europa
2003;116;Camerún;África
2003;;Canadá;Norteamérica
2003;369;Chile;Sudamérica
2003;1980;China;Asia
2003;8584;Colombia;Sudamérica
2003;924;Cuba;Centroamérica
2003;;República Checa;Europa
2003;;Dinamarca;Europa
2003;339;República Dominicana;Centroamérica
2003;15395;Ecuador;Sudamérica
2003;;Egipto;África
2003;;El Salvador;Centroamérica
2003;907;Guinea Ecuatorial;África
2003;1391;Francia;Europa
2003;;Georgia;Europa
2003;805;Alemania;Europa
2003;230;Ghana;África
2003;;Grecia;Europa
2003;;Guatemala;Centroamérica
2003;81;Honduras;Centroamérica
2003;;Hungría;Europa
2003;344;India;Asia
2003;108;Irlanda;Europa
2003;1760;Italia;Europa
2003;110;Japón;Asia
2003;97;Jordania;Asia
2003;;Letonia;Europa
2003;150;Líbano;Asia
2003;907;Liberia;África
2003;;Libia;África
2003;75;Lituania;Europa
2003;;Mali;África
2003;;Mauritania;África
2003;400;México;Norteamérica
2003;76;Moldavia;Europa
2003;2201;Marruecos;África
2003;198;Países Bajos;Europa
2003;;nueva Zelanda;Oceanía
2003;;Nicaragua;Centroamérica
2003;1162;Nigeria;África
2003;1025;Pakistán;Asia
2003;;Panamá;Centroamérica
2003;52;Paraguay;Sudamérica
2003;630;Perú;Sudamérica
2003;133;Filipinas;Asia
2003;254;Polonia;Europa
2003;412;Portugal;Europa
2003;271;Guinea;África
2003;;Corea del Sur;Asia
2003;1959;Rumanía;Europa
2003;428;Rusia;Europa
2003;699;Senegal;África
2003;119;Sierra Leona;África
2003;;Eslovaquia;Europa
2003;;Suecia;Europa
2003;;Suiza;Europa
2003;227;Siria;Asia
2003;1371;Ucrania;Europa
2003;811;Reino Unido;Europa
2003;383;Estados Unidos;Norteamérica
2003;675;Uruguay;Sudamérica
2003;609;Venezuela;Sudamérica
2004;;Albania;Europa
2004;1602;Argelia;África
2004;3596;Argentina;Sudamérica
2004;550;Armenia;Europa
2004;;Austria;Europa
2004;;Bangladesh;Asia
2004;192;Bélgica;Europa
2004;2830;Bolivia;Sudamérica
2004;989;Brasil;Sudamérica
2004;2069;Bulgaria;Europa
2004;145;Camerún;África
2004;;Canadá;Norteamérica
2004;462;Chile;Sudamérica
2004;2406;China;Asia
2004;8936;Colombia;Sudamérica
2004;1008;Cuba;Centroamérica
2004;4;República Checa;Europa
2004;;Dinamarca;Europa
2004;359;República Dominicana;Centroamérica
2004;18603;Ecuador;Sudamérica
2004;;Egipto;África
2004;;El Salvador;Centroamérica
2004;984;Guinea Ecuatorial;África
2004;1492;Francia;Europa
2004;94;Georgia;Europa
2004;941;Alemania;Europa
2004;285;Ghana;África
2004;;Grecia;Europa
2004;;Guatemala;Centroamérica
2004;116;Honduras;Centroamérica
2004;45;Hungría;Europa
2004;483;India;Asia
2004;124;Irlanda;Europa
2004;2450;Italia;Europa
2004;;Japón;Asia
2004;;Jordania;Asia
2004;;Letonia;Europa
2004;;Líbano;Asia
2004;;Liberia;África
2004;;Libia;África
2004;111;Lituania;Europa
2004;98;Mali;África
2004;;Mauritania;África
2004;474;México;Norteamérica
2004;106;Moldavia;Europa
2004;2580;Marruecos;África
2004;241;Países Bajos;Europa
2004;8;nueva Zelanda;Oceanía
2004;;Nicaragua;Centroamérica
2004;1595;Nigeria;África
2004;1313;Pakistán;Asia
2004;;Panamá;Centroamérica
2004;104;Paraguay;Sudamérica
2004;691;Perú;Sudamérica
2004;130;Filipinas;Asia
2004;299;Polonia;Europa
2004;476;Portugal;Europa
2004;285;Guinea;África
2004;;Corea del Sur;Asia
2004;3139;Rumanía;Europa
2004;577;Rusia;Europa
2004;880;Senegal;África
2004;;Sierra Leona;África
2004;;Eslovaquia;Europa
2004;92;Suecia;Europa
2004;70;Suiza;Europa
2004;223;Siria;Asia
2004;1619;Ucrania;Europa
2004;894;Reino Unido;Europa
2004;441;Estados Unidos;Norteamérica
2004;1091;Uruguay;Sudamérica
2004;842;Venezuela;Sudamérica
2005;;Albania;Europa
2005;1825;Argelia;África
2005;4201;Argentina;Sudamérica
2005;712;Armenia;Europa
2005;;Austria;Europa
2005;;Bangladesh;Asia
2005;197;Bélgica;Europa
2005;5187;Bolivia;Sudamérica
2005;1215;Brasil;Sudamérica
2005;2516;Bulgaria;Europa
2005;147;Camerún;África
2005;;Canadá;Norteamérica
2005;559;Chile;Sudamérica
2005;2991;China;Asia
2005;9361;Colombia;Sudamérica
2005;1091;Cuba;Centroamérica
2005;69;República Checa;Europa
2005;;Dinamarca;Europa
2005;406;República Dominicana;Centroamérica
2005;18369;Ecuador;Sudamérica
2005;;Egipto;África
2005;;El Salvador;Centroamérica
2005;1029;Guinea Ecuatorial;África
2005;1573;Francia;Europa
2005;113;Georgia;Europa
2005;1021;Alemania;Europa
2005;373;Ghana;África
2005;;Grecia;Europa
2005;;Guatemala;Centroamérica
2005;141;Honduras;Centroamérica
2005;74;Hungría;Europa
2005;704;India;Asia
2005;130;Irlanda;Europa
2005;2998;Italia;Europa
2005;;Japón;Asia
2005;;Jordania;Asia
2005;;Letonia;Europa
2005;;Líbano;Asia
2005;;Liberia;África
2005;;Libia;África
2005;153;Lituania;Europa
2005;229;Mali;África
2005;;Mauritania;África
2005;546;México;Norteamérica
2005;123;Moldavia;Europa
2005;2852;Marruecos;África
2005;252;Países Bajos;Europa
2005;9;nueva Zelanda;Oceanía
2005;;Nicaragua;Centroamérica
2005;1993;Nigeria;África
2005;2033;Pakistán;Asia
2005;;Panamá;Centroamérica
2005;279;Paraguay;Sudamérica
2005;869;Perú;Sudamérica
2005;132;Filipinas;Asia
2005;422;Polonia;Europa
2005;567;Portugal;Europa
2005;374;Guinea;África
2005;;Corea del Sur;Asia
2005;4512;Rumanía;Europa
2005;701;Rusia;Europa
2005;947;Senegal;África
2005;;Sierra Leona;África
2005;;Eslovaquia;Europa
2005;104;Suecia;Europa
2005;78;Suiza;Europa
2005;225;Siria;Asia
2005;1726;Ucrania;Europa
2005;921;Reino Unido;Europa
2005;438;Estados Unidos;Norteamérica
2005;1506;Uruguay;Sudamérica
2005;1130;Venezuela;Sudamérica
2006;;Albania;Europa
2006;2321;Argelia;África
2006;4547;Argentina;Sudamérica
2006;877;Armenia;Europa
2006;;Austria;Europa
2006;;Bangladesh;Asia
2006;216;Bélgica;Europa
2006;8197;Bolivia;Sudamérica
2006;1665;Brasil;Sudamérica
2006;2938;Bulgaria;Europa
2006;211;Camerún;África
2006;;Canadá;Norteamérica
2006;724;Chile;Sudamérica
2006;3717;China;Asia
2006;10336;Colombia;Sudamérica
2006;1143;Cuba;Centroamérica
2006;94;República Checa;Europa
2006;;Dinamarca;Europa
2006;439;República Dominicana;Centroamérica
2006;18540;Ecuador;Sudamérica
2006;;Egipto;África
2006;;El Salvador;Centroamérica
2006;1138;Guinea Ecuatorial;África
2006;1762;Francia;Europa
2006;126;Georgia;Europa
2006;1146;Alemania;Europa
2006;467;Ghana;África
2006;;Grecia;Europa
2006;;Guatemala;Centroamérica
2006;228;Honduras;Centroamérica
2006;82;Hungría;Europa
2006;1274;India;Asia
2006;147;Irlanda;Europa
2006;3724;Italia;Europa
2006;;Japón;Asia
2006;;Jordania;Asia
2006;;Letonia;Europa
2006;;Líbano;Asia
2006;;Liberia;África
2006;;Libia;África
2006;199;Lituania;Europa
2006;557;Mali;África
2006;;Mauritania;África
2006;686;México;Norteamérica
2006;168;Moldavia;Europa
2006;3326;Marruecos;África
2006;325;Países Bajos;Europa
2006;81;nueva Zelanda;Oceanía
2006;;Nicaragua;Centroamérica
2006;2648;Nigeria;África
2006;4009;Pakistán;Asia
2006;;Panamá;Centroamérica
2006;549;Paraguay;Sudamérica
2006;1064;Perú;Sudamérica
2006;141;Filipinas;Asia
2006;556;Polonia;Europa
2006;698;Portugal;Europa
2006;461;Guinea;África
2006;;Corea del Sur;Asia
2006;6027;Rumanía;Europa
2006;831;Rusia;Europa
2006;1194;Senegal;África
2006;;Sierra Leona;África
2006;;Eslovaquia;Europa
2006;131;Suecia;Europa
2006;104;Suiza;Europa
2006;240;Siria;Asia
2006;1922;Ucrania;Europa
2006;1069;Reino Unido;Europa
2006;535;Estados Unidos;Norteamérica
2006;1709;Uruguay;Sudamérica
2006;1438;Venezuela;Sudamérica
2007;;Albania;Europa
2007;2000;Argelia;África
2007;3840;Argentina;Sudamérica
2007;833;Armenia;Europa
2007;106;Austria;Europa
2007;;Bangladesh;Asia
2007;252;Bélgica;Europa
2007;12818;Bolivia;Sudamérica
2007;1955;Brasil;Sudamérica
2007;2752;Bulgaria;Europa
2007;212;Camerún;África
2007;;Canadá;Norteamérica
2007;740;Chile;Sudamérica
2007;3464;China;Asia
2007;9590;Colombia;Sudamérica
2007;1129;Cuba;Centroamérica
2007;154;República Checa;Europa
2007;91;Dinamarca;Europa
2007;435;República Dominicana;Centroamérica
2007;16315;Ecuador;Sudamérica
2007;;Egipto;África
2007;;El Salvador;Centroamérica
2007;992;Guinea Ecuatorial;África
2007;2050;Francia;Europa
2007;122;Georgia;Europa
2007;1357;Alemania;Europa
2007;443;Ghana;África
2007;99;Grecia;Europa
2007;62;Guatemala;Centroamérica
2007;396;Honduras;Centroamérica
2007;112;Hungría;Europa
2007;1265;India;Asia
2007;176;Irlanda;Europa
2007;4432;Italia;Europa
2007;103;Japón;Asia
2007;;Jordania;Asia
2007;53;Letonia;Europa
2007;;Líbano;Asia
2007;;Liberia;África
2007;;Libia;África
2007;238;Lituania;Europa
2007;868;Mali;África
2007;111;Mauritania;África
2007;552;México;Norteamérica
2007;182;Moldavia;Europa
2007;2984;Marruecos;África
2007;407;Países Bajos;Europa
2007;276;nueva Zelanda;Oceanía
2007;100;Nicaragua;Centroamérica
2007;2609;Nigeria;África
2007;3722;Pakistán;Asia
2007;88;Panamá;Centroamérica
2007;901;Paraguay;Sudamérica
2007;1082;Perú;Sudamérica
2007;135;Filipinas;Asia
2007;788;Polonia;Europa
2007;826;Portugal;Europa
2007;443;Guinea;África
2007;;Corea del Sur;Asia
2007;6582;Rumanía;Europa
2007;765;Rusia;Europa
2007;1159;Senegal;África
2007;;Sierra Leona;África
2007;104;Eslovaquia;Europa
2007;159;Suecia;Europa
2007;114;Suiza;Europa
2007;168;Siria;Asia
2007;1801;Ucrania;Europa
2007;1269;Reino Unido;Europa
2007;496;Estados Unidos;Norteamérica
2007;1586;Uruguay;Sudamérica
2007;1357;Venezuela;Sudamérica
2008;;Albania;Europa
2008;2040;Argelia;África
2008;4001;Argentina;Sudamérica
2008;913;Armenia;Europa
2008;133;Austria;Europa
2008;;Bangladesh;Asia
2008;279;Bélgica;Europa
2008;15849;Bolivia;Sudamérica
2008;2528;Brasil;Sudamérica
2008;3439;Bulgaria;Europa
2008;274;Camerún;África
2008;;Canadá;Norteamérica
2008;823;Chile;Sudamérica
2008;3805;China;Asia
2008;10218;Colombia;Sudamérica
2008;1184;Cuba;Centroamérica
2008;245;República Checa;Europa
2008;106;Dinamarca;Europa
2008;550;República Dominicana;Centroamérica
2008;16214;Ecuador;Sudamérica
2008;;Egipto;África
2008;;El Salvador;Centroamérica
2008;1054;Guinea Ecuatorial;África
2008;2422;Francia;Europa
2008;145;Georgia;Europa
2008;1607;Alemania;Europa
2008;467;Ghana;África
2008;118;Grecia;Europa
2008;101;Guatemala;Centroamérica
2008;777;Honduras;Centroamérica
2008;145;Hungría;Europa
2008;1429;India;Asia
2008;210;Irlanda;Europa
2008;5312;Italia;Europa
2008;114;Japón;Asia
2008;;Jordania;Asia
2008;73;Letonia;Europa
2008;;Líbano;Asia
2008;;Liberia;África
2008;;Libia;África
2008;276;Lituania;Europa
2008;1008;Mali;África
2008;116;Mauritania;África
2008;573;México;Norteamérica
